Player,Player_id,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
RJ Barrett,barrerj01,41,21.6,6.6,5.7,47.0,34.9,65.5,52.3,16.6,1.6
RayJ Dennis,dennira01,6,0.8,0.5,0.2,33.3,33.3,100.0,50.0,17.8,0.0
Rayan Rupert,ruperra01,34,2.6,1.1,0.5,41.6,28.6,72.2,48.1,8.8,0.1
Reece Beekman,beekmre01,18,2.3,0.7,1.4,38.6,25.0,57.1,43.2,8.8,0.1
Reed Sheppard,sheppre01,34,3.2,1.3,1.1,31.1,27.8,83.3,39.4,7.1,0.1
Reggie Jackson,jacksre01,29,4.3,1.4,1.5,37.3,32.4,77.8,46.4,9.3,0.1
Richaun Holmes,holmeri01,12,3.9,4.0,0.8,55.9,0.0,81.8,55.9,16.1,0.3
Ricky Council IV,councri01,40,6.9,2.5,1.1,41.6,29.8,80.8,48.0,13.6,0.9
Riley Minix,minixri01,1,0.0,2.0,0.0,0.0,0.0,-,0.0,-1.8,0.0
Rob Dillingham,dilliro01,25,5.8,1.1,2.4,50.0,43.8,42.9,58.8,12.7,0.3
Robert Williams,williro04,17,5.8,5.7,1.0,65.1,33.3,88.2,65.9,19.6,1.0
Ron Holland,hollaro01,50,6.3,2.8,0.8,45.8,26.3,79.0,50.8,10.5,0.8
Royce O'Neale,onealro01,43,9.2,5.1,2.1,42.6,40.2,77.3,57.1,12.7,1.8
Rudy Gobert,goberru01,50,10.7,10.3,1.9,65.2,-,68.6,65.2,16.6,6.3
Rui Hachimura,hachiru01,40,12.7,5.1,1.5,50.5,42.6,78.1,58.8,13.4,2.6
Russell Westbrook,westbru01,48,13.0,5.1,6.4,47.7,33.1,64.1,53.2,16.0,2.2
Ryan Dunn,dunnry01,44,6.9,3.4,1.0,44.8,31.5,47.6,52.9,10.7,1.0
Ryan Rollins,rolliry01,32,5.0,1.5,1.1,46.9,35.7,81.8,54.6,12.4,0.5
Sam Hauser,hausesa01,41,7.6,3.0,1.0,43.9,39.5,100.0,61.0,12.9,2.2
Sam Merrill,merrisa01,41,7.0,1.9,1.6,38.7,35.0,95.7,53.8,10.8,1.6
Sandro Mamukelashvili,mamuksa01,31,4.7,2.4,0.5,56.5,42.6,70.4,69.0,20.6,0.9
Santi Aldama,aldamsa01,42,12.8,6.8,2.5,49.2,37.2,71.7,57.7,17.7,3.5
Scoot Henderson,hendesc01,43,12.6,3.0,5.3,43.1,36.0,78.5,50.4,13.8,1.4
Scottie Barnes,barnesc01,36,20.1,8.1,6.4,45.8,27.7,75.9,49.8,18.1,2.1
Scotty Pippen Jr.,pippesc02,50,9.6,3.4,4.7,46.5,34.1,67.3,52.6,14.9,2.8
Seth Curry,curryse01,40,5.5,1.4,0.6,48.8,46.6,88.2,61.0,12.2,1.1
Shaedon Sharpe,sharpsh01,42,17.2,3.8,2.5,44.7,32.3,80.3,51.5,13.6,1.2
Shai Gilgeous-Alexander,gilgesh01,47,32.5,5.2,6.0,53.3,35.0,89.9,57.9,31.1,10.6
Shake Milton,miltosh01,37,6.4,1.8,2.1,46.2,36.9,80.0,54.7,12.8,1.2
Sidy Cissoko,cissosi01,17,1.3,0.6,0.4,50.0,42.9,16.7,58.3,11.3,0.1
Simone Fontecchio,fontesi01,45,6.4,2.9,0.9,39.9,33.6,81.4,50.2,9.4,0.9
Spencer Dinwiddie,dinwisp01,48,10.1,2.5,3.7,40.5,33.3,85.2,48.8,13.0,2.5
Spencer Jones,jonessp01,6,0.3,0.5,0.0,25.0,0.0,-,25.0,2.3,0.0
Stanley Umude,umudest01,19,0.6,0.7,0.1,20.0,18.2,50.0,25.0,3.2,-0.1
Stephen Curry,curryst01,40,22.1,4.5,6.2,43.7,39.5,94.1,55.9,19.9,3.6
Stephon Castle,castlst01,46,12.2,2.8,3.7,40.7,27.8,71.1,45.7,11.0,0.2
Steven Adams,adamsst01,34,3.8,5.3,1.1,58.1,-,45.2,58.1,17.3,1.3
Svi Mykhailiuk,mykhasv01,18,10.0,2.3,1.7,42.2,35.5,78.6,54.9,11.7,0.0
T.J. McConnell,mccontj01,47,9.9,2.6,4.5,52.4,25.9,73.9,53.2,18.9,1.8
Taj Gibson,gibsota01,20,2.4,3.4,0.6,43.5,50.0,58.3,44.6,10.0,0.2
Talen Horton-Tucker,hortota01,40,5.9,1.7,1.3,45.7,38.3,72.9,54.1,13.9,0.7
Tari Eason,easonta01,33,11.2,6.3,1.1,47.2,34.3,73.9,52.8,18.9,3.0
Taurean Prince,princta02,48,7.5,3.7,2.1,44.9,45.4,79.2,59.6,9.8,2.0
Taylor Hendricks,hendrta01,3,4.7,5.0,0.7,22.2,25.0,75.0,30.6,7.3,0.0
Taze Moore,mooreta02,2,3.0,4.0,0.5,20.0,25.0,50.0,25.0,7.2,-0.1
Terance Mann,mannte01,36,6.2,2.9,1.6,45.5,35.6,71.9,52.4,10.8,1.5
Terrence Shannon Jr.,shannte01,10,1.5,0.2,0.5,53.8,33.3,-,57.7,10.6,0.0
Terry Rozier,roziete01,43,12.3,4.2,3.0,41.3,30.0,86.7,48.4,11.4,1.0
Thomas Bryant,bryanth01,32,6.2,3.6,0.8,53.2,39.1,88.0,62.1,19.1,1.6
Tidjane Salaün,salauti01,34,4.7,4.1,1.1,31.8,28.0,67.7,40.6,7.1,0.1
Tim Hardaway Jr.,hardati02,46,10.8,2.2,1.6,41.5,37.4,82.1,53.7,9.5,1.9
Tobias Harris,harrito02,48,13.1,6.0,2.4,45.0,32.4,86.1,50.8,12.9,2.8
Torrey Craig,craigto01,9,6.9,2.8,0.6,48.9,42.9,75.0,65.6,17.3,0.4
Tosan Evbuomwan,evbuoto01,15,9.7,4.1,1.5,45.2,33.3,74.4,50.9,10.1,0.1
Toumani Camara,camarto01,48,10.3,5.7,2.0,45.3,36.3,72.6,54.3,11.6,2.3
Trae Young,youngtr01,46,23.0,3.2,11.5,40.4,34.3,85.8,48.8,17.7,3.1
Trayce Jackson-Davis,jackstr02,46,8.0,6.2,2.1,56.8,0.0,60.5,56.8,18.3,3.0
Tre Jones,jonestr01,28,4.4,2.1,3.7,48.4,30.8,75.8,52.7,13.9,1.2
Tre Mann,manntr01,13,14.1,2.9,3.0,43.5,40.0,90.5,50.9,13.6,0.3
Trendon Watford,watfotr01,15,8.2,3.0,1.2,43.8,30.0,81.1,48.4,11.6,0.1
Trentyn Flowers,flowetr01,2,4.5,2.0,0.0,44.4,0.0,100.0,44.4,8.0,0.0
Trevelin Queen,queentr01,21,5.0,1.6,1.4,39.2,29.6,81.8,47.1,10.2,0.4
Trey Alexander,alexatr01,14,0.9,0.3,0.4,22.2,22.2,100.0,27.8,1.9,-0.1
Trey Jemison,jemistr01,20,2.2,2.9,0.6,44.7,-,39.1,44.7,8.3,0.0
Trey Lyles,lylestr01,39,6.5,4.8,1.0,39.9,33.6,73.8,51.4,11.9,1.4
Trey Murphy III,murphtr02,34,22.6,5.0,3.1,47.3,38.2,89.0,57.6,19.3,3.3
Tristan Da Silva,dasiltr01,47,8.5,4.0,1.7,42.1,33.0,84.8,50.3,9.9,1.8
Tristan Thompson,thomptr01,25,1.7,3.0,0.7,43.2,0.0,22.7,43.2,8.1,0.1
Tristan Vukcevic,vukcetr01,9,2.7,0.9,0.4,42.9,18.2,80.0,47.6,13.4,0.0
Tristen Newton,newtotr01,6,0.5,0.2,0.2,16.7,0.0,100.0,16.7,-13.9,-0.1
Ty Jerome,jeromty01,46,11.3,2.3,3.4,51.6,43.1,88.5,60.9,21.1,3.8
TyTy Washington Jr.,washity02,4,2.0,0.3,1.0,50.0,66.7,-,66.7,13.5,0.1
Tyler Herro,herroty01,46,23.8,5.5,5.4,47.0,39.4,85.9,57.8,19.4,4.6
Tyler Kolek,kolekty01,28,1.9,0.5,0.8,38.3,39.3,100.0,50.0,11.1,0.2
Tyler Smith,smithty02,14,3.0,1.4,0.3,48.5,40.0,50.0,60.6,17.0,0.1
Tyrese Haliburton,halibty01,47,18.2,3.6,8.6,45.2,36.7,84.3,55.7,20.0,5.6
Tyrese Martin,martity01,31,8.1,3.9,1.8,39.9,35.3,65.4,50.4,10.1,0.1
Tyrese Maxey,maxeyty01,41,27.7,3.4,6.0,44.2,34.9,87.3,51.9,21.0,4.0
Tyus Jones,jonesty01,48,11.0,2.4,5.9,46.8,41.6,87.5,58.3,14.6,3.2
Ulrich Chomche,chomcul01,6,0.8,1.0,0.3,66.7,-,50.0,66.7,8.6,0.0
Vasilije Micić,micicva01,36,7.5,2.4,3.5,34.8,36.0,82.9,43.0,7.0,-0.6
